order_item_id,order_id,product_id,quantity,unit_price,subtotal
1,1,8,2,381.81,763.62
2,1,45,2,137.86,275.72
3,1,45,2,137.86,275.72
4,1,18,3,67.48,202.44
5,2,29,1,55.44,55.44
6,2,39,1,355.12,355.12
7,2,28,3,42.62,127.86
8,2,21,3,384.61,1153.83
9,3,2,1,297.99,297.99
10,3,15,3,378.35,1135.05
11,3,37,3,219.59,658.77
12,4,49,3,287.08,861.24
13,5,37,1,219.59,219.59
14,5,49,1,287.08,287.08
15,5,31,3,403.74,1211.22
16,6,18,1,67.48,67.48
17,6,38,2,319.61,639.22
18,6,41,2,482.91,965.82
19,6,6,2,192.66,385.32
20,7,27,2,201.34,402.68
21,7,21,3,384.61,1153.83
22,7,7,1,230.08,230.08
23,8,27,3,201.34,604.02
24,8,32,2,392.4,784.8
25,8,43,2,388.45,776.9
26,9,30,1,425.9,425.9
27,10,17,2,312.56,625.12
28,10,8,2,381.81,763.62
29,10,33,1,268.71,268.71
30,11,27,1,201.34,201.34
31,11,13,3,115.99,347.97
32,11,24,3,482.54,1447.62
33,11,49,2,287.08,574.16
34,12,49,1,287.08,287.08
35,12,14,2,391.71,783.42
36,12,36,1,412.05,412.05
37,12,19,2,284.16,568.32
38,13,8,1,381.81,381.81
39,13,41,3,482.91,1448.73
40,13,16,3,103.68,311.04
41,13,11,2,237.8,475.6
42,14,36,2,412.05,824.1
43,15,15,1,378.35,378.35
44,16,8,3,381.81,1145.43
45,16,10,2,129.87,259.74
46,16,46,2,416.21,832.42
47,16,33,3,268.71,806.13
48,17,27,2,201.34,402.68
49,17,31,1,403.74,403.74
50,17,30,3,425.9,1277.7
51,18,25,1,291.45,291.45
52,18,39,3,355.12,1065.36
53,19,5,2,94.96,189.92
54,19,50,2,171.52,343.04
55,20,33,2,268.71,537.42
56,20,1,2,18.35,36.7
57,20,47,2,143.07,286.14
58,21,10,2,129.87,259.74
59,21,35,2,11.26,22.52
60,21,23,2,390.01,780.02
61,21,36,3,412.05,1236.15
62,22,30,2,425.9,851.8
63,22,13,3,115.99,347.97
64,22,16,3,103.68,311.04
65,22,25,1,291.45,291.45
66,23,3,2,46.55,93.1
67,23,48,2,125.71,251.42
68,23,46,2,416.21,832.42
69,23,25,3,291.45,874.35
70,24,32,1,392.4,392.4
71,24,9,3,142.74,428.22
72,25,7,2,230.08,460.16
73,25,7,3,230.08,690.24
74,25,30,1,425.9,425.9
75,26,27,3,201.34,604.02
76,26,10,1,129.87,129.87
77,27,17,2,312.56,625.12
78,27,40,3,92.19,276.57
79,27,26,3,290.02,870.06
80,27,6,2,192.66,385.32
81,28,21,3,384.61,1153.83
82,28,46,2,416.21,832.42
83,28,35,1,11.26,11.26
84,28,40,1,92.19,92.19
85,29,41,3,482.91,1448.73
86,29,19,1,284.16,284.16
87,30,28,1,42.62,42.62
88,31,29,1,55.44,55.44
89,32,2,1,297.99,297.99
90,32,21,1,384.61,384.61
91,32,19,2,284.16,568.32
92,33,28,1,42.62,42.62
93,33,16,3,103.68,311.04
94,33,27,3,201.34,604.02
95,34,11,1,237.8,237.8
96,34,6,3,192.66,577.98
97,35,40,3,92.19,276.57
98,35,16,2,103.68,207.36
99,35,38,1,319.61,319.61
100,35,15,2,378.35,756.7
101,36,30,2,425.9,851.8
102,36,43,1,388.45,388.45
103,36,30,2,425.9,851.8
104,37,5,2,94.96,189.92
105,37,23,3,390.01,1170.03
106,38,41,2,482.91,965.82
107,38,45,2,137.86,275.72
108,38,30,2,425.9,851.8
109,39,25,2,291.45,582.9
110,39,7,1,230.08,230.08
111,40,37,2,219.59,439.18
112,40,37,2,219.59,439.18
113,40,45,2,137.86,275.72
114,40,2,3,297.99,893.97
115,41,18,1,67.48,67.48
116,41,37,3,219.59,658.77
117,41,50,3,171.52,514.56
118,41,4,3,72.17,216.51
119,42,19,1,284.16,284.16
120,42,39,2,355.12,710.24
121,42,15,3,378.35,1135.05
122,42,13,3,115.99,347.97
123,43,44,3,220.61,661.83
124,43,50,3,171.52,514.56
125,43,44,1,220.61,220.61
126,44,41,3,482.91,1448.73
127,45,20,2,235.19,470.38
128,46,38,2,319.61,639.22
129,47,6,2,192.66,385.32
130,47,21,3,384.61,1153.83
131,48,12,1,30.78,30.78
132,48,9,3,142.74,428.22
133,48,24,3,482.54,1447.62
134,48,33,2,268.71,537.42
135,49,17,2,312.56,625.12
136,49,19,3,284.16,852.48
137,50,8,2,381.81,763.62
138,50,5,1,94.96,94.96
139,50,49,1,287.08,287.08
140,51,36,2,412.05,824.1
141,51,6,2,192.66,385.32
142,51,1,2,18.35,36.7
143,51,35,1,11.26,11.26
